Date,Open,High,Low,Close,Adj Close,Volume
2012-12-27,29400,30000,29400,29920,24375.93359,9143900
2012-12-28,29760,30600,29740,30440,24799.58203,10562750
2013-01-02,30660,31520,30540,31520,25679.45898,11449650
2013-01-03,31640,31680,30860,30860,25141.75391,14227400
2013-01-04,30800,30840,30200,30500,24848.46484,12999800
2013-01-07,30300,30560,30000,30400,24766.99609,12610950
2013-01-08,30260,30340,29960,30000,24441.11523,13822250
2013-01-09,30000,30260,29820,30000,24441.11523,12659950
2013-01-10,30300,30680,30000,30600,24929.93164,14663600
2013-01-11,30960,30960,30140,30660,24978.81641,11913550
2013-01-14,30780,31040,30560,31040,25288.40039,7999950
2013-01-15,31200,31200,30240,30240,24636.64453,10727150
2013-01-16,30280,30520,29660,29840,24310.75391,16221000
2013-01-17,30040,30040,29000,29380,23935.99414,20236700
2013-01-18,29600,29740,29100,29600,24115.22852,12516600
2013-01-21,29280,29500,28960,29080,23691.58398,14519650
2013-01-22,28900,29740,28900,29600,24115.22852,11947400
2013-01-23,30000,30040,29460,29460,24001.16992,9293550
2013-01-24,29360,29380,28820,29060,23675.28711,15999050
2013-01-25,29200,29220,28100,28340,23088.70313,21795250
2013-01-28,27920,28020,27420,27440,22355.4707,30852150
2013-01-29,27800,28360,27600,28180,22958.3457,21616550
2013-01-30,28520,28800,28240,28800,23463.4707,16170100
2013-01-31,28600,28960,28440,28960,23593.8125,16052800
2013-02-01,29200,29200,28440,28820,23479.76758,11576200
2013-02-04,29000,29060,28340,28740,23414.58594,12861900
2013-02-05,28300,28860,28280,28700,23381.99414,11388100
2013-02-06,28800,28860,28540,28540,23251.64453,6897150
2013-02-07,28780,28780,28400,28400,23137.58594,9721100
2013-02-08,28360,29400,28300,29240,23821.93359,13423850
2013-02-12,29680,29680,29180,29360,23919.70117,8419750
2013-02-13,29480,29780,29120,29740,24229.28711,9209050
2013-02-14,29800,29880,29540,29800,24278.16797,7534100
2013-02-15,29800,29960,29540,29960,24408.52148,7599950
2013-02-18,29800,30020,29620,29800,24278.16797,7109950
2013-02-19,29600,29980,29580,29840,24310.75391,6132250
2013-02-20,30040,30900,29940,30900,25174.34961,18039350
2013-02-21,30800,31160,30700,31000,25255.81641,13123650
2013-02-22,30600,30960,30400,30600,24929.93164,13852650
2013-02-25,30980,30980,30600,30600,24929.93164,8897550
2013-02-26,30300,30760,30160,30540,24881.05469,9244750
2013-02-27,31180,31180,30380,30540,24881.05469,8938200
2013-02-28,30600,31080,30600,30880,25158.05664,12784200
2013-03-04,31260,31260,30600,30780,25076.58008,13276850
2013-03-05,31120,31280,30960,31000,25255.81641,9294600
2013-03-06,31440,31500,30940,31200,25418.75391,10148650
2013-03-07,30960,31000,30240,30400,24766.99609,13482700
2013-03-08,30300,30340,29780,29980,24424.81641,18941000
2013-03-11,29860,30240,29700,30160,24571.46484,13748250
2013-03-12,30080,30240,29800,29880,24343.3457,8746550
2013-03-13,30120,30580,30020,30540,24881.05469,11303550
2013-03-14,30560,30680,29980,30400,24766.99609,12557800
2013-03-15,30580,30580,29600,29600,24115.22852,36618350
2013-03-18,29200,29200,28680,28900,23544.9375,26439550
2013-03-19,29000,29840,28960,29500,24033.75586,13977100
2013-03-20,29200,29700,29120,29200,23789.35352,13515750
2013-03-21,29220,29480,29120,29140,23740.46875,11768550
2013-03-22,29160,29360,29040,29100,23707.87891,10687100
2013-03-25,29600,29900,29400,29900,24359.64258,10272050
2013-03-26,29900,30440,29820,30180,24587.75781,16830000
2013-03-27,30300,30320,29740,30080,24506.28516,12881400
2013-03-28,30060,30200,29940,30200,24604.05078,7989600
2013-03-29,30480,30640,30340,30540,24881.05469,9533700
2013-04-01,30700,30700,30240,30240,24636.64453,5295500
2013-04-02,30200,30640,30200,30500,24848.46484,8574850
2013-04-03,30520,30560,30180,30420,24783.28516,10882700
2013-04-04,30340,30380,29980,30120,24538.87305,10700450
2013-04-05,30100,30320,29860,30100,24522.58398,14977350
2013-04-08,30100,30620,29940,30400,24766.99609,12959500
2013-04-09,30540,30600,30200,30560,24897.3418,9244000
2013-04-10,30800,30800,30260,30420,24783.28516,11779700
2013-04-11,30420,30800,30360,30800,25092.87695,11291500
2013-04-12,30800,31000,30260,30340,24718.10742,10744050
2013-04-15,30060,30700,30060,30460,24815.87305,10767300
2013-04-16,30100,30640,30020,30560,24897.3418,18551850
2013-04-17,31320,31320,30280,30360,24734.41016,10491100
2013-04-18,30400,30440,29620,29660,24164.11523,13358400
2013-04-19,29300,29840,29100,29500,24033.75586,15704000
2013-04-22,29800,30060,29300,30060,24489.99414,9335850
2013-04-23,30000,30060,29480,29660,24164.11523,8864850
2013-04-24,29700,29880,29480,29720,24212.99414,10086550
2013-04-25,29400,29880,29400,29880,24343.3457,10463900
2013-04-26,29900,29940,29440,29720,24212.99414,11651600
2013-04-29,29820,29840,29500,29620,24131.52539,8500150
2013-04-30,29800,30600,29760,30400,24766.99609,18705000
2013-05-02,30520,30640,30340,30560,24897.3418,10048950
2013-05-03,30700,30740,30420,30700,25011.40625,6559050
2013-05-06,30800,30800,30240,30280,24669.23047,8654300
2013-05-07,30160,30160,29820,29860,24327.05273,11434500
2013-05-08,29860,29960,29580,29760,24245.58203,14921950
2013-05-09,29800,30400,29780,30300,24685.52148,10806150
2013-05-10,30280,30280,29520,29520,24050.05273,11794850
2013-05-13,29420,29600,29240,29540,24066.34766,8750100
2013-05-14,29740,30000,29660,30000,24441.11523,9002650
2013-05-15,29700,30000,29680,30000,24441.11523,10594800
2013-05-16,30020,30280,30000,30160,24571.46484,14657550
2013-05-20,30040,30240,29920,29940,24392.23242,12288850
2013-05-21,30200,30200,29700,29840,24310.75391,11600400
2013-05-22,30080,30200,29820,30180,24587.75781,9923100
2013-05-23,29840,30040,29680,29680,24180.4043,11994150
2013-05-24,29740,29880,29440,29720,24212.99414,10190600
2013-05-27,29800,29980,29740,29780,24261.87305,6146400
2013-05-28,29620,29920,29620,29680,24180.4043,11588050
2013-05-29,29680,30460,29660,30240,24636.64453,14760550
2013-05-30,30360,30980,30240,30880,25158.05664,22778000
2013-05-31,30920,31180,30740,30760,25060.28711,18025050
2013-06-03,30720,31180,30560,30640,24962.51758,10309450
2013-06-04,30660,30840,30420,30800,25092.87695,8496600
2013-06-05,30980,31060,30420,30420,24783.28516,13590650
2013-06-07,29500,29700,28480,28540,23251.64453,54290800
2013-06-10,28400,28860,28280,28500,23219.05469,26677700
2013-06-11,28220,28380,27560,27780,22632.46875,34613000
2013-06-12,27560,28060,27240,27700,22567.29297,22887650
2013-06-13,27600,27940,27140,27140,22111.05859,33509850
2013-06-14,27300,27540,27140,27380,22306.58203,17558350
2013-06-17,27400,27560,27300,27320,22257.70508,11758450
2013-06-18,27360,27740,27200,27740,22599.88477,11043050
2013-06-19,27640,27700,27280,27380,22306.58203,10270250
2013-06-20,26860,26960,26520,26580,21654.82227,17817950
2013-06-21,25880,26660,25800,26500,21589.64844,27677800
2013-06-24,27000,27000,26260,26260,21394.12109,15847900
2013-06-25,26020,26360,25760,25940,21133.41406,20774950
2013-06-26,26020,26100,24900,25220,20546.82422,31751200
2013-06-27,25900,26880,25720,26780,21826.41797,25756150
2013-06-28,27000,27000,26580,26840,21875.32227,20961250
2013-07-01,26680,26920,26440,26520,21614.50977,12825950
2013-07-02,26800,27040,26600,26700,21761.2168,10214450
2013-07-03,26680,26780,25900,26020,21206.99023,12822050
2013-07-04,26040,26340,25920,26340,21467.80859,9042650
2013-07-05,25720,26300,25200,25340,20652.77539,30382800
2013-07-08,25000,25160,24180,24520,19984.45898,26480150
2013-07-09,24600,25000,24580,24740,20163.76563,19694950
2013-07-10,24900,25040,24740,24960,20343.07031,17305650
2013-07-11,25020,26240,25020,26240,21386.30664,20788350
2013-07-12,26400,26480,26020,26240,21386.30664,11391300
2013-07-15,26300,26380,25700,26260,21402.60352,9629600
2013-07-16,26360,26420,25800,25960,21158.0957,9300950
2013-07-17,26020,26600,25720,26400,21516.70898,12302300
2013-07-18,26500,26500,25840,25840,21060.29688,15704200
2013-07-19,25760,25900,25280,25460,20750.57813,16271300
2013-07-22,25600,25780,25300,25460,20750.57813,10351150
2013-07-23,25460,26140,25440,26140,21304.80273,11948900
2013-07-24,26140,26340,25900,26300,21435.20508,8772650
2013-07-25,26340,26440,26160,26300,21435.20508,8495650
2013-07-26,26280,26380,25980,26060,21239.60352,13619550
2013-07-29,25820,26000,25580,25660,20913.58984,11821850
2013-07-30,25540,25900,25540,25800,21027.69531,9425350
2013-07-31,25600,25800,25580,25600,20864.69336,12735500
2013-08-01,25700,25760,25480,25600,20864.69336,9058900
2013-08-02,25860,26000,25640,25720,20962.49414,11241350
2013-08-05,25660,25660,25480,25480,20766.88281,8079850
2013-08-06,24900,25440,24900,25080,20440.87109,14493700
2013-08-07,24740,24800,24440,24440,19919.26172,15778100
2013-08-08,24260,24700,24260,24340,19837.75,17910800
2013-08-09,24580,24820,24400,24600,20049.6582,12080200
2013-08-12,24600,24960,24500,24640,20082.25977,10140600
2013-08-13,24880,25800,24840,25800,21027.69531,20929450
2013-08-14,25780,26000,25700,26000,21190.69922,13005100
2013-08-16,25720,26020,25640,25900,21109.19141,11416600
2013-08-19,25720,25920,25600,25720,20962.49414,6499850
2013-08-20,25920,26100,25380,25380,20685.38281,14230950
2013-08-21,25300,25640,25120,25120,20473.47266,12346050
2013-08-22,25000,25340,24900,25100,20457.17383,11984850
2013-08-23,25600,26000,25420,25900,21109.19141,17203400
2013-08-26,26020,26100,25920,26000,21190.69922,11519650
2013-08-27,26140,26180,25900,26080,21255.90625,9130800
2013-08-28,25680,26200,25680,26180,21337.4043,9492550
2013-08-29,26340,26960,26280,26880,21907.92383,16315000
2013-08-30,27200,27360,27020,27360,22299.13477,17135800
2013-09-02,27360,27420,27000,27020,22022.02344,10081600
2013-09-03,27280,27280,26520,26740,21793.81445,11798500
2013-09-04,26600,27080,26420,26800,21842.7207,10920050
2013-09-05,27400,27420,27160,27300,22250.23242,15100100
2013-09-06,27400,27500,27160,27380,22315.43555,11937950
2013-09-09,27420,27500,27260,27460,22380.63477,9291550
2013-09-10,27380,27920,27360,27920,22755.54883,14717650
2013-09-11,27960,28040,27700,28040,22853.34961,13353000
2013-09-12,28100,28480,27900,28200,22983.75977,21805400
2013-09-13,28180,28200,27920,28120,22918.55078,12281500
2013-09-16,28460,28500,28220,28500,23228.26172,11710700
2013-09-17,28400,28400,27620,27720,22592.53906,17181350
2013-09-23,27300,27620,27060,27200,22168.72852,24362900
2013-09-24,26840,27580,26760,27460,22380.63477,15138900
2013-09-25,27340,27480,27020,27280,22233.93359,11176450
2013-09-26,27280,27440,27120,27440,22364.33398,10374700
2013-09-27,27500,27540,27260,27320,22266.5293,11613250
2013-09-30,27320,27640,27200,27340,22282.83203,11650900
2013-10-01,27600,27660,27200,27640,22527.3418,9773150
2013-10-02,27960,28500,27800,28360,23114.1582,17586350
2013-10-04,28760,28840,28280,28360,23114.1582,15753700
2013-10-07,28740,28740,28500,28720,23407.56641,10228250
2013-10-08,28340,28660,28340,28600,23309.76758,10546000
2013-10-10,28420,28640,28420,28600,23309.76758,13819000
2013-10-11,28800,28940,28720,28860,23521.67188,11254150
2013-10-14,28960,28980,28760,28760,23440.16992,7373700
2013-10-15,29000,29140,28900,29140,23749.88477,10023650
2013-10-16,29380,29380,28900,29000,23635.7793,8010600
2013-10-17,29200,29360,29080,29260,23847.6875,9099350
2013-10-18,29440,29500,29260,29440,23994.39063,7852150
2013-10-21,29500,29780,29080,29280,23863.98633,7126050
2013-10-22,29200,29200,28680,29100,23717.28711,12353250
2013-10-23,29280,29280,28720,28840,23505.375,8598450
2013-10-24,28620,28980,28580,28980,23619.47852,8915650
2013-10-25,29000,29040,28660,28980,23619.47852,6735300
2013-10-28,29300,29700,29160,29640,24157.39258,11307700
2013-10-29,29800,29800,29560,29800,24287.79883,10334900
2013-10-30,29700,30000,29680,30000,24450.80859,10588400
2013-10-31,29960,30040,29300,29300,23880.28516,12647050
2013-11-01,29800,30000,29360,30000,24450.80859,11357700
2013-11-04,29840,30040,29780,29980,24434.50977,10887800
2013-11-05,30040,30040,29440,29700,24206.29883,8009300
2013-11-06,29960,29960,28980,29020,23652.07617,12218400
2013-11-07,29020,29080,28500,28740,23423.87305,13006800
2013-11-08,28220,28560,28140,28200,22983.75977,13681350
2013-11-11,28500,28680,28180,28560,23277.16211,8563850
2013-11-12,28800,29320,28720,29120,23733.57813,9784900
2013-11-13,28900,28980,28380,28380,23130.46289,9995200
2013-11-14,29100,29100,28480,28480,23211.9668,10132150
2013-11-15,28680,29240,28640,29240,23831.38477,8339250
2013-11-18,29400,29520,29300,29480,24026.99609,6386800
2013-11-19,29660,29780,29540,29780,24271.5,8183550
2013-11-20,29460,29740,29280,29400,23961.79102,8178150
2013-11-21,29440,29440,28640,28800,23472.77344,9019800
2013-11-22,28820,29120,28620,29000,23635.7793,8574600
2013-11-25,29020,29440,29020,29300,23880.28516,6615300
2013-11-26,29160,29580,29100,29580,24108.5,8586250
2013-11-27,29340,29520,29200,29400,23961.79102,9351700
2013-11-28,29600,29880,29580,29880,24353,10644900
2013-11-29,29980,29980,29700,29880,24353,6752200
2013-12-02,30000,30060,29340,29340,23912.89063,7487800
2013-12-03,29280,29560,29140,29220,23815.08984,7798600
2013-12-04,29000,29060,28620,28640,23342.36719,10844000
2013-12-05,28660,28920,28440,28800,23472.77344,10479650
2013-12-06,29080,29080,28560,28560,23277.16211,9147450
2013-12-09,28800,29080,28800,29080,23700.98047,6996900
2013-12-10,28820,29020,28620,28800,23472.77344,7755600
2013-12-11,28520,28880,28320,28400,23146.76758,10629150
2013-12-12,27920,28200,27920,28200,22983.75977,14962050
2013-12-13,28200,28220,27800,27800,22657.74805,10053250
2013-12-16,27820,28080,27660,28000,22820.75195,8954400
2013-12-17,28340,28340,27860,27900,22739.25,7762400
2013-12-18,28100,28200,27880,28020,22837.05469,10899200
2013-12-19,28360,28680,28360,28540,23260.86914,10552400
2013-12-20,28260,28540,28260,28540,23260.86914,8407400
2013-12-23,28740,28760,28580,28660,23358.67188,10639200
2013-12-24,28600,28640,28300,28300,23065.26367,10980350
2013-12-26,28160,28300,28020,28160,22951.1543,12307800
2013-12-27,28200,28220,27900,27920,22980.78516,10510000
2013-12-30,27920,27940,27200,27440,22585.70117,16908100
2014-01-02,26960,27100,26040,26180,21548.60547,31025000
2014-01-03,26000,26220,25740,25920,21334.5957,26496600
2014-01-06,26060,26400,25920,26140,21515.68359,19735800
2014-01-07,26000,26360,25900,26080,21466.29688,19763200
2014-01-08,26000,26080,25740,25820,21252.28516,20474650
2014-01-09,26140,26140,25500,25500,20988.89844,21250950
2014-01-10,25500,25720,25440,25440,20939.51758,18189150
2014-01-13,25660,25940,25460,25900,21318.13672,16449350
2014-01-14,25940,26600,25800,26260,21614.45117,14716650
2014-01-15,26600,26620,25960,25980,21383.98633,11747450
2014-01-16,26000,26200,25860,26020,21416.90234,9752450
2014-01-17,26020,26300,25840,25840,21268.75195,12774250
2014-01-20,26100,26380,25920,26320,21663.83594,8682800
2014-01-21,26300,26540,26220,26480,21795.5293,7562300
2014-01-22,26280,26560,26240,26560,21861.37891,10826500
2014-01-23,26320,26440,25980,25980,21383.98633,10336950
2014-01-24,26000,26360,25820,26140,21515.68359,14001750
2014-01-27,25860,26080,25700,25840,21268.75195,13346300
2014-01-28,25460,25860,25460,25660,21120.5957,11701350
2014-01-29,25600,25760,25540,25600,21071.21289,19181850
2014-02-03,25720,25760,25420,25440,20939.51758,16259200
2014-02-04,25260,25260,24980,24980,20560.89063,16033000
2014-02-05,24900,25100,24680,24740,20363.35156,14926650
2014-02-06,24900,25340,24800,25180,20725.50781,15197450
2014-02-07,25500,25580,25260,25500,20988.89844,9943600
2014-02-10,25420,25620,25240,25540,21021.82227,7799650
2014-02-11,25620,26300,25440,26220,21581.52734,12684000
2014-02-12,26620,26620,26100,26140,21515.68359,10027400
2014-02-13,26000,26400,25800,25960,21367.52148,5838450
2014-02-14,25920,26160,25840,26020,21416.90234,6220750
2014-02-17,25840,26120,25600,25700,21153.51563,9386650
2014-02-18,25700,25980,25640,25900,21318.13672,5910650
2014-02-19,26000,26000,25600,25800,21235.83203,6179750
2014-02-20,25800,25920,25620,25720,21169.98242,9543300
2014-02-21,26660,26660,26000,26600,21894.29883,14346200
2014-02-24,26680,26900,26420,26560,21861.37891,7425050
2014-02-25,26640,26800,26520,26680,21960.15234,8785300
2014-02-26,26740,26860,26500,26840,22091.84766,12918050
2014-02-27,26700,26840,26600,26820,22075.38281,7891350
2014-02-28,26740,26980,26640,26980,22207.07813,14232350
2014-03-03,26720,26800,26420,26500,21811.99414,12104150
2014-03-04,26400,26580,26300,26300,21647.375,7900150
2014-03-05,26700,26820,26600,26600,21894.29883,7491500
2014-03-06,26580,26580,26200,26520,21828.45508,8616750
2014-03-07,26780,26780,26580,26780,22042.45703,7548650
2014-03-10,26400,26600,26340,26400,21729.68555,8657600
2014-03-11,26400,26540,26180,26440,21762.60938,9079800
2014-03-12,26400,26400,25860,25880,21301.67578,12579250
2014-03-13,25880,26260,25800,25800,21235.83203,11750200
2014-03-14,25400,25700,25400,25500,20988.89844,10836800
2014-03-17,25500,25520,25160,25320,20840.74219,8820000
2014-03-18,25400,25660,25320,25560,21038.28711,11045600
2014-03-19,25600,25700,25360,25380,20890.12695,7638550
2014-03-20,25400,25440,25240,25240,20774.89648,5939400
2014-03-21,25380,25460,25240,25460,20955.97266,8321300
2014-03-24,25200,25480,25180,25460,20955.97266,7073900
2014-03-25,25380,25400,24820,24940,20527.9668,13625000
2014-03-26,25380,25800,24960,25700,21153.51563,17444700
2014-03-27,25800,26660,25700,26660,21943.68945,20877850
2014-03-28,26400,26760,26400,26700,21976.61133,10648700
2014-03-31,26900,26900,26440,26860,22108.30469,13259850
2014-04-01,26900,26900,26620,26780,22042.45703,11081000
2014-04-02,27000,27140,26860,27140,22338.77344,13100050
2014-04-03,27020,27900,27020,27800,22882.01953,19098800
2014-04-04,27540,27940,27540,27600,22717.39844,18400350
2014-04-07,27940,27940,27480,27940,22997.25,10761750
2014-04-08,27740,27980,27500,27880,22947.86523,10608200
2014-04-09,27880,27900,27280,27420,22569.24023,16061600
2014-04-10,27380,27600,27200,27600,22717.39844,9999200
2014-04-11,27240,27360,27180,27300,22470.46875,10659350
2014-04-14,27300,27720,27300,27400,22552.78516,10586000
2014-04-15,27720,27740,27380,27400,22552.78516,10969800
2014-04-16,27400,27840,27260,27600,22717.39844,9308550
2014-04-17,27520,27600,27320,27400,22552.78516,7241650
2014-04-18,27400,27580,27400,27560,22684.47266,9518350
2014-04-21,27580,27720,27500,27600,22717.39844,3299250
2014-04-22,27480,27680,27420,27500,22635.0918,6084300
2014-04-23,27880,27900,27640,27780,22865.55273,9500750
2014-04-24,28180,28180,27980,28140,23161.87109,10546200
2014-04-25,28400,28560,27960,27980,23030.17188,15269800
2014-04-28,28080,28120,27640,27760,22849.0918,9431450
2014-04-29,27780,27900,27020,27200,22388.1582,10909200
2014-04-30,27600,27620,26520,26860,22108.30469,15047300
2014-05-02,27080,27180,26880,26920,22157.69141,14943350
2014-05-07,27000,27120,26800,26880,22124.77344,14189700
2014-05-08,27100,27100,26880,27000,22223.54297,16281900
2014-05-09,27120,27160,26520,26700,21976.61133,13157050
2014-05-12,26720,27900,26640,27760,22849.0918,15944800
2014-05-13,27760,28500,27760,28000,23046.63281,12107400
2014-05-14,28180,28300,28020,28300,23293.56836,11103750
2014-05-15,28280,28380,28060,28200,23211.25781,6806700
2014-05-16,28000,28740,27980,28560,23507.56641,15856500
2014-05-19,28560,29000,28160,28960,23836.80273,19281050
2014-05-20,28900,29080,28700,29020,23886.18555,16007300
2014-05-21,28700,29000,28700,28820,23721.57617,10842500
2014-05-22,28820,28960,28520,28520,23474.64453,9540000
2014-05-23,28100,28560,28100,28560,23507.56641,8511650
2014-05-26,28400,28640,28300,28440,23408.79102,3735600
2014-05-27,28340,28460,28060,28140,23161.87109,4748400
2014-05-28,28380,28700,28180,28660,23589.87695,9200950
2014-05-29,29000,29300,28800,29200,24034.35156,12521500
2014-05-30,29400,29640,28860,28860,23754.49609,15831050
2014-06-02,28860,29160,28780,29100,23952.04297,7439450
2014-06-03,29680,29900,29300,29400,24198.96875,17234250
2014-06-05,29320,29600,29000,29140,23984.96289,13507050
2014-06-09,29400,29460,28040,28180,23194.78906,22269600
2014-06-10,28420,28760,28100,28720,23639.25781,9214100
2014-06-11,28240,28600,28240,28440,23408.79102,8625750
2014-06-12,28600,28600,28020,28260,23260.63672,12943150
2014-06-13,28040,28080,27260,27340,22503.38867,18589050
2014-06-16,27600,27640,27240,27480,22618.625,15319950
2014-06-17,27200,27560,27020,27480,22618.625,13476750
2014-06-18,27460,27520,27120,27160,22355.23633,11044350
2014-06-19,26900,26980,26400,26460,21779.07227,22339700
2014-06-20,26600,26600,25920,26020,21416.90234,23902650
